text,url,bounds/width,bounds/height,bounds/left,bounds/right,bounds/top,bounds/bottom,bounds/fontSize,bounds/density,bounds/densityOnScreen,bounds/areaDensity,bounds/text_count,meta/moreBigText,meta/isDownTitle,meta/tagName,meta/hasCluster,computed/transform_origin,computed/perspective_origin,computed/line_height,computed/position
"Elon Musk, guardián de la galaxia",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,980,47,310,1290,209,256,42.0196,309.22807117077843,1653.715971872135,2002.30953913305,33,true,false,H1,false,490,490,47.9024,relative
"Lo que separa a este hombre de anteriores charlatanes del universo tecnológico, espacial y emprendedor, es que él, de momento, sí parece capaz de cumplir sus promesas",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,980,54,310,1290,270,324,20.0014,229.60182926100566,4261.415653864336,1991.40062231309,166,false,true,H2,false,490,490,27.0019,relative
"Elon Musk dice tener un proyecto de nave espacial que podría llegar a Marte en 2019. Algunos esperan que sea cierto, que se suba a ella y que no vuelva. En la imagen, Musk en los premios Goldenes Lenkrad celebrados en Alemania (2016).",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,980,48,310,1290,1085,1133,12.9941,213.2674377395668,4497.3352109888365,2000.703606752355,234,false,true,FIGCAPTION,false,490,490,14.0336,relative
27 ABR 2018 - 10:56CEST,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,980,18,310,1290,1179,1197,17.008,222.96860765587607,528.7404254452273,2060.1510677988103,23,false,true,DIV,false,490,490,16,relative
"En el fulgor marfileño de la dentadura de Elon Musk (Sudáfrica, 1971) podría esculpirse, con letras de oro, la palabra “Emprendimiento”. Pero en su vidriosa mirada de visionario uno podría descifrar un confuso mensaje que ora parece decir: “¡Alerta, científico loco!”; ora exclama: “¡Peligro, insensata combinación de zolpidem, alcohol y estados carenciales de sueño!”.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,140,310,950,1217,1357,17.008,282.7525419868051,10757.248718887186,1942.4058179686344,369,false,true,P,true,320,320,28.0632,relative
"Entre esos contrastados campos semánticos se mueve la percepción pública de este pretoriano al que uno podría emparentar con un villano de James Bond, la síntesis de Stark padre y Stark hijo, el profesor Franz de Copenhague o la versión Ciudadanos de Nikola Tesla: si su pensamiento utópico garantizara la salvación de la humanidad en un futuro sin combustibles fósiles, pero con colonias multiplanetarias, la cosa no tendría gracia.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,196,310,950,1392,1588,17.008,365.42988383546304,16313.983204600892,1903.626309373825,433,false,true,P,true,320,320,28.0632,relative
"Lo interesante es que en él, como en todo megalómano, conviven en igual medida las potencialidades de la Salvación y la Catástrofe. Cuando se haga mayor –si su naturaleza mesiánica le permite llegar a viejo–, es probable que debatamos si está más cerca del benéfico Doc de Regreso al futuro o del sórdido Rick de Rick and Morty.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,140,310,950,1623,1763,17.008,299.90498495356826,10142.031354713907,1942.4058179686344,328,false,true,P,true,320,320,28.0632,relative
"Este hombre que ha enviado un descapotable a Marte, ha llevado el coche electrónico a velocidades de Ferrari, esboza proyectos de colonización marciana, desarrolla interfaces para que conectemos nuestras neuronas a un disco duro y premió a un murciano con la posibilidad de conducir una tuneladora pensada para acabar con el problema del tráfico (aunque, de paso, convierta el planeta en un queso Emmental) es la prueba palpable de que la realidad puede superar a la ficción.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,196,310,950,1798,1994,17.008,348.9011321277132,17086.88385867944,1903.626309373825,475,false,true,P,true,320,320,28.0632,relative
"Tras autodefinirse como medio demócrata y medio republicano, Elon Musk no parece hacerle tantos ascos en los últimos meses a Trump como en tiempo de elecciones. A fin y al cabo, ambos consideran sus cuentas de Twitter como el palo selfi desde el que expandir su sentido del espectáculo. Y se necesitan.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,140,310,950,2029,2169,17.008,312.54759637533607,9731.76243031035,1942.4058179686344,302,false,true,P,true,320,320,28.0632,relative
"Puedes seguir ICON en Facebook, Twitter, Instagram,o suscribirte aquí a la Newsletter.",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,64,310,950,2204,2268,15.04,284.72442817573625,2374.0463348469,2010.957572293815,86,false,true,P,false,320,320,28.0632,relative
El lado desconocido del hombre que nos llevará a Marte,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,640,267.4375,310,950,2479,2746.4375,20,1302.0579864199597,7861.024957026914,1861.5253273802844,54,false,true,SPAN,false,320,320,24,relative
El encanto de Elon Musk falla de forma alarmante,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,70.96875,990,1290,1334,1404.96875,13.008,213.00938946440834,921.911105394658,2050.8897991623194,48,false,true,H4,false,150,150,16.9104,relative
Tesla duplica pérdidas en el primer trimestre por el coste del Model 3,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,86.96875,990,1290,1431.96875,1518.9375,13.008,216.15735009478627,1364.3114375940706,2039.849844738678,70,false,true,H4,false,150,150,16.9104,relative
Tesla eleva la producción del Model 3 a 2.020 unidades semanales,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,86.96875,990,1290,1545.9375,1632.90625,13.008,226.06193841511666,1304.5312498652534,2039.849844738678,64,false,true,H4,false,150,150,16.9104,relative
Sobre cómo Elon Musk llevó ‘La Fundación’ de Asimov al espacio,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,86.96875,990,1290,1659.90625,1746.875,13.008,229.67803551928947,1283.9861666895015,2039.849844738678,62,false,true,H4,false,150,150,16.9104,relative
La historia del dinero: de la tarjeta de crédito a la banca móvil,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,57,990,1290,2049.03125,2106.03125,18.0795,124.70364870363657,861.6537968494075,2061.5997128092667,65,false,true,A,false,150,150,23.5034,relative
Cómo se pasó del primer cajero automático a gestionar las cuentas por Internet,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,74,990,1290,2102.03125,2176.03125,15.3072,160.61755819336813,1225.4068202029887,2048.709385325274,78,false,true,P,false,150,150,21.4301,relative
"Gloria, acoso y desprecio: la verdadera historia de nuestro mayor logro eurovisivo en los últimos 39 años",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,57,990,1290,2296.03125,2353.03125,12,120.43255373859678,1095.142863111932,2061.5997128092667,105,false,true,A,false,150,150,19.008,relative
El hombre que ha fabricado todas las series españolas que has visto (‘La casa de papel’ incluida),https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,38,990,1290,2363.03125,2401.03125,12,83.5344240418284,701.7311183779725,2078.567578501094,97,false,true,A,false,150,150,19.008,relative
"VídeoSi no quieres recuperar el peso perdido y deseas fortalecer los músculos, sigue esta dieta",https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,54,990,1290,2440.03125,2494.03125,12,119.9499895789908,986.8629274119075,2064.0659228538016,95,false,true,A,false,150,150,19.008,relative
Los tres hábitos que el príncipe Harry lucha por dejar antes de la boda,https://elpais.com/elpais/2018/04/25/icon/1524662918_848779.html,300,38,990,1290,2504.03125,2542.03125,12,97.63708311906906,600.3631713388155,2078.567578501094,71,false,true,A,false,150,150,19.008,relative
